"","1_1","1_2","1_3","2_1","2_2","2_3","3_1","3_2","3_3","4_1","4_2","4_3","5_1","5_2","5_3","6_1","6_2","6_3","7_1","7_2","7_3","8_1","8_2","8_3","9_1","9_2","9_3","10_1","10_2","10_3"
"ENSG00000227695",6,8,0,1,2,0,2,1,10,6,1,0,1,4,2,6,1,0,5,0,1,1,0,1,1,0,6,2,1,6
"ENSG00000238472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120054",0,5,6,0,3,2,1,3,2,2,1,1,1,7,5,4,2,0,9,3,6,3,3,3,1,0,1,0,5,5
"ENSG00000232230",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000107566",2967,4375,4253,4761,3842,2243,833,2845,3977,4194,4218,1920,2513,2463,1503,3901,4021,1288,5476,3264,2877,2815,1633,4070,1896,1118,3109,1504,1901,2987
"ENSG00000213341",1152,1635,1626,2120,1688,1251,320,1140,1599,2216,2274,1205,1075,1026,680,2159,2208,746,2534,1502,1297,1823,1011,3051,954,490,2382,763,1337,1967
"ENSG00000236308",4,3,3,4,1,2,0,0,0,3,3,5,0,3,0,0,1,0,1,0,3,0,0,0,4,2,0,0,0,1
"ENSG00000227492",2,10,4,6,7,2,0,2,5,8,8,4,16,3,1,7,6,7,14,12,6,1,4,6,4,2,3,1,5,5
"ENSG00000095485",1216,1866,1902,2167,1718,1155,408,1276,1663,2077,1968,945,1234,1099,789,1928,1813,571,2420,1406,1257,1123,687,1889,864,445,1167,605,658,935
"ENSG00000212464",17,22,14,14,19,10,3,20,16,16,23,17,14,19,12,42,32,16,32,29,19,37,18,56,16,12,35,13,21,18
"ENSG00000230224",1,4,5,2,10,1,1,6,3,7,3,0,2,0,3,6,6,1,10,7,4,4,0,3,5,5,9,2,6,6
"ENSG00000207362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196072",958,1324,1443,1391,1273,822,287,914,1275,1492,1426,774,1299,1128,841,2135,2321,780,1823,1089,876,1052,667,1814,948,493,1922,749,1057,1571
"ENSG00000107593",4,5,12,12,14,3,3,3,8,11,4,4,3,8,2,6,3,3,24,6,4,6,3,6,2,4,19,3,4,12
"ENSG00000231188",3,2,1,1,2,3,0,1,3,2,0,1,0,0,1,7,3,0,1,0,0,1,0,0,1,0,2,2,3,1
"ENSG00000099194",39482,60297,62027,89661,73506,44762,10847,42266,57687,86187,80026,41519,29424,30365,20785,75212,77908,23604,54578,32423,32952,26566,15443,40012,18787,11098,33908,17095,21687,28275
"ENSG00000256545",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235823",1462,2282,2130,3224,2755,1587,340,1448,1924,2622,2767,1165,1255,1228,808,2379,2573,810,2404,1453,1334,1141,723,1799,717,432,1457,627,1078,1358
"ENSG00000212325",0,0,3,1,1,0,1,1,1,5,0,0,0,1,1,0,0,0,3,0,5,0,1,2,0,1,0,3,1,1
"ENSG00000273030",4,13,7,10,7,6,2,3,5,4,5,6,3,3,1,6,8,5,10,4,3,5,1,6,4,0,3,2,5,6
"ENSG00000075290",0,2,0,0,6,0,1,2,1,2,2,0,0,0,0,0,3,0,0,1,3,0,2,2,0,0,1,1,0,0
"ENSG00000075826",1840,2907,2681,2471,1931,1028,526,1938,2550,1949,1969,898,2028,1868,1096,2164,2250,600,3147,1866,1703,1505,894,2360,1288,678,2302,998,1513,1851
"ENSG00000255339",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000166136",333,573,542,592,464,306,106,325,529,630,587,287,389,362,217,578,440,175,627,425,375,304,169,419,228,143,330,213,227,323
"ENSG00000166135",4627,6617,6313,8001,6381,3941,1211,4429,6208,6899,6919,3251,4445,4215,2576,6638,6718,1959,7830,4616,3911,3656,2250,5887,2995,1551,5449,2452,3602,4773
"ENSG00000075891",163,228,201,323,274,154,63,189,246,307,254,145,203,202,128,416,328,85,422,212,154,157,105,279,122,71,301,120,180,237
"ENSG00000222072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
"ENSG00000272572",15,36,22,35,22,25,6,24,25,31,33,24,15,14,21,24,32,7,38,19,20,13,8,19,5,12,27,7,9,14
"ENSG00000119906",3318,5081,4903,4707,4225,2281,902,3515,4424,3970,4233,2029,3110,3126,1894,3798,4188,1265,5557,3249,2851,2654,1692,3973,1935,1150,3360,1502,2039,2633
"ENSG00000273476",3,12,8,4,7,0,0,3,5,6,6,0,3,9,2,3,9,0,8,6,3,2,1,4,7,1,4,5,2,5
"ENSG00000055950",1717,2396,2670,3177,2479,1541,543,1640,2369,2952,2735,1335,1485,1551,906,2558,2573,930,3159,1886,1792,1549,982,2848,1060,588,2092,874,1381,1801
"ENSG00000095539",1585,2270,2176,2501,1965,1187,432,1458,1936,2064,2030,938,1468,1413,944,2086,2147,617,2401,1493,1225,1058,584,1663,915,555,1592,791,1050,1338
"ENSG00000207551",0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0
"ENSG00000236662",19,20,27,22,13,5,5,11,39,8,18,13,23,12,8,13,15,4,28,16,29,9,6,21,9,2,13,18,10,14
"ENSG00000107815",1397,2056,2139,2326,1909,1079,467,1444,2005,2173,1926,913,1581,1426,976,2481,2575,845,2736,1646,1540,1283,748,2002,1152,623,1978,1033,1226,1878
"ENSG00000107816",5057,7620,7499,9261,7424,4687,1376,4915,6672,8183,7714,3754,4649,4683,3096,7932,7763,2395,8678,4785,4501,3976,2417,6427,3113,1887,5411,2797,3577,4678
"ENSG00000186862",363,432,432,496,348,257,91,307,406,417,506,196,366,370,231,498,454,159,646,389,333,271,197,459,245,128,379,197,281,350
"ENSG00000107819",2732,4318,3865,4416,3518,2081,735,2747,3751,3971,3880,1788,2440,2331,1567,3737,3587,1069,4715,2748,2530,2065,1144,3067,1723,963,2788,1255,1756,2283
"ENSG00000273162",94,125,95,128,102,44,14,72,95,107,96,51,61,55,44,81,94,21,138,84,64,70,40,99,22,17,71,31,31,59
"ENSG00000107821",183,271,286,333,287,216,59,164,243,332,318,151,141,126,106,223,289,93,339,230,221,181,86,343,102,59,198,78,117,179
"ENSG00000236311",2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,2,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000269259",0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000107807",4,5,7,5,10,1,0,4,7,1,6,4,3,1,3,1,1,2,10,2,6,3,3,6,4,1,7,3,5,5
"ENSG00000226740",1,0,2,1,3,1,0,0,0,0,0,1,0,0,0,2,1,0,1,3,2,1,1,0,0,0,0,0,0,0
"ENSG00000237579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
"ENSG00000270973",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000138136",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227128",0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,0,1,2,1,0,0,0,0,2,0,0,0,1
"ENSG00000229649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166167",1751,2502,2611,3130,2681,1536,455,1771,2416,2880,2918,1369,1709,1569,1000,2473,2820,838,3134,1888,1773,1898,1054,2891,1106,638,2400,861,1523,2088
"ENSG00000222414",10,7,7,15,17,9,5,5,10,9,26,18,22,7,3,13,15,3,11,4,14,7,8,14,7,6,4,1,4,13
"ENSG00000239091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166171",808,1305,1430,1184,974,587,257,802,1098,1137,1099,535,727,695,450,985,889,328,1260,735,803,459,284,761,421,280,547,411,316,541
"ENSG00000166169",1407,2166,2227,2228,1939,1170,395,1388,1917,2019,1894,970,1345,1385,865,2045,1903,633,2503,1474,1344,1181,690,1965,923,508,1645,735,1062,1411
"ENSG00000263436",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000107829",1070,1525,1521,2084,1555,964,276,1108,1460,1825,1752,856,880,876,605,1687,1719,536,2057,1185,1082,1214,715,2011,705,396,1475,613,1060,1363
"ENSG00000222051",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000107831",27,32,35,40,35,25,6,9,39,25,51,20,19,21,13,37,9,11,27,20,24,20,18,35,18,11,23,16,28,22
"ENSG00000107833",2172,3365,3410,2973,2558,1672,668,2218,2971,3046,2900,1490,2013,2044,1290,3003,2951,1031,4467,2546,2240,1598,1090,2820,1417,840,1955,1150,1218,1822
"ENSG00000198408",12765,19478,18481,20509,16188,10341,3723,14048,18152,18329,18310,8909,11486,11696,7436,16703,17684,5221,20762,12443,11692,9203,5387,14565,7493,4453,12424,6230,7593,10573
"ENSG00000226009",50,65,76,79,29,19,5,36,41,40,36,36,19,25,21,31,41,11,65,35,37,10,13,32,15,22,37,19,26,33
"ENSG00000120049",282,419,416,448,425,219,101,359,424,369,490,227,391,305,202,420,380,115,526,271,265,276,131,366,189,78,389,169,233,288
"ENSG00000120029",1247,1991,1903,2596,2233,1447,355,1256,1774,2461,2609,1248,1395,1230,814,2383,2568,788,2364,1399,1264,1473,938,2293,897,472,1846,715,1207,1614
"ENSG00000222430",0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,2,0,1,0,0,2,0,0,0
"ENSG00000166189",1288,1509,1903,2540,1945,1373,401,1245,1789,2697,2280,1266,1215,1260,795,2680,2221,875,2572,1537,1466,1347,698,2216,1091,542,1864,972,1186,1766
"ENSG00000224302",0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198728",2663,3959,3935,4970,4116,2444,747,2769,3680,4753,4569,2064,2741,2673,1678,4650,4815,1521,5248,2865,2623,2379,1423,3686,1919,1068,3264,1540,2103,2782
"ENSG00000148840",3940,5516,5728,8452,6100,4435,1297,4010,6077,8445,8126,4010,4457,3895,2750,8505,7685,2608,9643,5672,4963,4308,2612,7343,3983,2223,6900,3134,4425,6602
"ENSG00000166197",6790,9639,9920,14320,11951,7548,2086,7106,9366,14257,13650,6471,7187,6754,4620,15438,16357,4867,13817,8245,6888,6946,4071,11417,5169,2818,9853,4082,6010,8786
"ENSG00000119915",210,252,288,426,344,250,58,159,267,435,373,196,150,201,127,342,314,150,354,201,170,205,108,288,132,49,171,102,107,203
"ENSG00000107859",28,51,69,88,47,34,9,34,56,54,63,37,28,28,22,60,46,24,41,30,35,26,15,43,16,21,33,25,14,21
"ENSG00000107862",6879,9666,9716,8347,6682,4080,1966,7216,9372,7372,7176,3163,6608,6079,3916,7638,7413,2323,12774,7498,6911,5822,3626,8831,4749,2644,8318,3910,5614,6787
"ENSG00000251989",0,0,0,1,0,0,0,0,1,0,1,2,2,3,0,3,0,0,2,1,3,0,0,0,0,0,0,0,1,1
"ENSG00000077150",6276,9402,9136,8403,6771,4256,1742,6167,7869,7340,7254,3455,5283,5589,3406,7546,6962,2276,8585,4806,4941,3616,2045,5932,2909,1803,5440,2582,3498,4326
"ENSG00000059915",335,507,511,551,436,270,109,394,493,456,482,231,328,335,245,506,447,166,706,426,396,338,190,553,202,134,501,218,312,377
"ENSG00000107872",521,756,789,907,633,471,143,502,682,831,789,380,390,448,312,764,720,265,909,436,497,439,300,715,251,163,543,224,308,443
"ENSG00000107874",1784,2593,2674,2897,2445,1500,423,1677,2320,2800,2504,1239,1577,1626,971,2773,2657,909,3398,1907,1782,1597,983,2604,1179,693,2072,940,1270,1735
"ENSG00000202569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000269609",776,1158,1196,1516,1174,716,181,733,927,1143,1098,554,566,567,397,969,888,296,1224,742,644,438,281,809,460,300,710,364,435,588
"ENSG00000120055",63,107,131,178,112,61,17,63,79,121,126,53,52,67,34,86,75,34,144,88,75,95,50,137,31,40,95,37,55,92
"ENSG00000138111",678,970,1072,1204,1007,596,201,665,874,1197,1080,461,615,589,408,959,973,330,1356,787,697,609,380,918,369,268,681,291,467,631
"ENSG00000138107",2447,3555,3901,4686,3715,2621,699,2373,3426,4730,4307,2202,2848,2679,1793,4864,4803,1556,5393,3260,2684,2921,1695,4739,1903,1057,3859,1484,2281,3242
"ENSG00000273262",2,9,3,9,2,4,0,0,1,6,3,1,1,0,0,7,4,1,8,0,1,1,1,4,3,0,4,1,1,2
"ENSG00000107882",1434,2319,2300,2314,1971,1198,377,1637,2036,2198,2162,947,1442,1314,815,2034,2084,630,2663,1566,1445,1163,664,1687,837,458,1485,760,931,1211
"ENSG00000242311",2,7,4,3,3,1,0,1,8,3,11,3,6,7,1,2,1,0,11,4,1,1,1,4,5,1,7,3,4,6
"ENSG00000228657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207029",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1
"ENSG00000272933",24,59,42,42,27,26,7,20,25,32,20,13,16,18,23,36,13,15,42,12,16,31,12,32,14,12,41,13,25,25
"ENSG00000171206",4670,7309,6886,7301,6300,3630,1250,4811,6109,6459,6170,2870,4244,4645,2713,6790,6268,2049,8009,4684,4732,4785,2729,6955,2901,1712,7110,2575,4735,5564
"ENSG00000138175",552,843,901,1261,925,680,128,551,755,1233,1199,647,573,574,308,1164,1249,379,1131,756,597,621,436,1172,331,272,735,290,431,735
"ENSG00000156398",283,357,336,533,401,312,97,282,403,493,494,196,366,319,180,644,640,178,747,462,346,315,237,570,271,149,582,241,320,476
"ENSG00000166272",1724,2580,2856,2863,2462,1581,520,1837,2627,2937,2592,1322,1663,1609,1057,2665,2499,817,3194,1843,1852,1552,877,2546,1177,704,2012,1089,1370,1930
"ENSG00000252994",2,0,0,0,0,0,0,2,2,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"ENSG00000148795",1,0,0,1,2,0,0,0,1,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"ENSG00000203886",4,2,12,12,5,3,3,4,12,9,12,3,11,9,5,8,8,1,12,7,21,8,2,11,3,0,7,2,1,3
"ENSG00000213061",2,3,0,4,3,0,0,1,2,1,1,4,1,1,0,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000236937",22,26,13,28,12,11,3,18,23,23,27,10,12,14,6,20,6,4,22,25,9,10,9,20,6,7,12,4,1,14
"ENSG00000166275",330,410,413,766,612,411,104,264,405,783,778,381,309,315,211,757,909,263,556,360,292,385,241,704,234,113,673,148,360,549
"ENSG00000270316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
"ENSG00000201080",16,16,14,10,7,1,4,15,8,9,10,8,8,4,8,5,9,3,8,7,8,6,2,10,5,4,6,8,6,5
"ENSG00000214435",18,29,24,13,14,8,4,9,16,12,8,6,10,13,10,13,11,2,18,3,9,5,3,10,8,9,3,5,10,15
"ENSG00000235266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272912",2,2,0,3,2,0,0,3,3,0,0,2,2,0,0,4,0,0,6,0,4,1,2,4,3,0,2,3,1,1
"ENSG00000148842",2160,3305,3241,3605,2943,1734,651,2180,2853,3136,3104,1375,1914,1853,1128,2872,2803,851,3214,1974,1825,1965,1138,2882,1203,685,2558,958,1721,2021
"ENSG00000076685",2565,3748,3810,5136,4280,2786,746,2719,3640,4937,4888,2487,2451,2411,1584,4494,4785,1618,4885,2857,2747,2898,1741,4960,1727,960,3936,1484,2338,3526
"ENSG00000237827",8,3,3,5,10,0,3,4,1,2,9,4,9,3,2,6,3,2,3,2,0,0,1,2,3,0,11,0,2,4
"ENSG00000213277",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229256",6,12,10,10,7,6,3,8,10,7,12,8,5,3,7,7,9,2,14,16,2,9,9,10,5,4,12,4,1,13
"ENSG00000235376",17,20,16,22,34,4,1,17,13,22,22,5,9,9,6,19,17,12,26,10,8,17,8,12,10,4,9,5,9,14
"ENSG00000148798",2,0,1,0,2,0,0,0,1,1,2,2,3,1,2,0,4,0,6,1,6,0,0,1,0,0,2,6,2,2
"ENSG00000156374",433,567,620,843,789,538,136,484,726,1032,872,488,548,519,328,939,1051,311,1107,653,599,554,343,1001,462,239,837,363,467,707
"ENSG00000212413",0,0,0,4,1,1,0,3,2,3,3,1,0,0,0,0,2,0,2,2,4,1,0,9,0,0,2,1,0,1
"ENSG00000148835",324,555,500,411,356,169,104,357,367,358,361,206,239,305,165,389,360,103,581,372,346,223,166,313,190,105,196,171,127,203
"ENSG00000173915",1549,2491,2509,2499,2124,1482,431,1479,2229,2723,2565,1106,1575,1657,1035,2600,2513,875,3070,1758,1538,1391,971,2535,1077,639,1814,834,1124,1559
"ENSG00000221767",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,4,0,0,1,0,1,0,0,0,0
"ENSG00000148843",4695,7248,7127,8706,6924,4519,1426,5167,6892,8271,8111,3712,5289,5051,3087,9190,9088,2627,10401,5930,5187,4424,2663,7264,3790,2015,6474,3029,4079,5821
"ENSG00000138172",958,1370,1540,2208,1864,1033,293,838,1194,1841,1897,874,840,895,487,1801,1764,533,1922,1207,974,1281,736,2010,635,346,1599,502,1093,1274
"ENSG00000273485",8,5,13,24,8,5,4,14,13,12,15,7,17,28,2,22,7,3,25,13,10,10,1,19,18,4,13,3,10,14
"ENSG00000234699",16,15,16,37,29,16,2,3,16,24,21,20,13,24,7,25,16,9,25,15,16,12,7,27,13,4,12,6,13,17
"ENSG00000185933",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ENSG00000183128",27,31,21,47,21,21,1,15,34,30,34,21,8,15,12,43,44,9,33,22,12,20,15,36,8,1,29,13,16,28
"ENSG00000235470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000107954",80,102,90,84,81,62,23,77,122,74,80,23,68,89,32,99,102,27,224,127,101,43,40,91,69,36,114,58,80,91
"ENSG00000226431",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000107957",1369,2000,1887,2000,1586,843,397,1413,1789,1648,1572,754,1091,1078,702,1556,1541,432,1767,949,978,794,392,1058,593,327,924,484,559,817
"ENSG00000273108",6,1,1,8,3,0,1,0,2,9,3,3,2,0,0,5,1,3,12,1,2,3,1,4,1,0,1,2,13,7
"ENSG00000222503",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000260461",351,498,447,714,624,324,97,362,448,586,623,263,350,334,162,657,686,182,539,370,265,405,258,609,187,108,514,128,326,489
"ENSG00000107960",1936,3143,2969,3612,3064,2019,607,1911,2783,3499,3391,1590,1771,1805,1141,3688,3643,1208,3575,2144,1842,2503,1506,4130,1187,690,3018,972,2056,2946
"ENSG00000065613",4744,6867,6994,11247,8905,5845,1386,4738,6760,11155,10811,5612,4725,4317,2818,10178,10647,3211,8868,5373,4559,5312,3222,8486,2885,1639,6287,2480,3648,5906
"ENSG00000266754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000065618",379,488,519,1256,987,569,87,306,445,1100,977,450,528,472,346,1720,1629,457,558,288,310,589,352,912,354,234,1319,304,870,1204
"ENSG00000216083",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000156384",1186,1653,1715,2390,1926,1184,307,1125,1492,2173,2090,1072,1146,1003,605,1950,2037,615,2095,1220,967,982,551,1661,665,348,1322,472,694,1175
"ENSG00000197748",215,213,245,585,430,287,48,185,200,504,550,273,237,150,112,467,502,133,307,192,126,243,155,372,124,56,325,74,193,291
"ENSG00000208033",2,3,0,3,3,0,0,0,0,0,3,2,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"ENSG00000148834",2452,3442,3594,4308,3582,2409,653,2381,3204,4157,4082,2140,2018,2083,1271,3800,3706,1380,4332,2508,2377,2214,1302,4051,1410,827,2639,1102,1702,2544
"ENSG00000266852",2,8,6,5,5,5,1,7,4,11,9,1,7,0,2,5,8,1,10,0,2,4,5,3,3,1,10,0,0,2
"ENSG00000065621",2700,3882,3832,5151,4339,2577,698,2629,3506,4755,4640,2218,2321,2369,1557,4303,4262,1399,4820,2977,2564,2613,1635,4508,1738,923,3220,1333,2090,3029
"ENSG00000148841",577,901,840,1689,1354,846,176,485,762,1560,1500,693,593,563,338,1614,1632,512,917,568,452,693,453,1068,315,195,863,240,552,779
"ENSG00000270075",2,4,4,4,3,4,0,2,6,0,0,0,2,0,1,2,0,0,7,3,6,0,0,1,1,0,4,3,0,2
"ENSG00000228261",28,40,28,10,20,10,7,19,22,14,28,9,15,19,9,9,21,2,24,15,11,8,6,25,13,5,22,8,9,3
"ENSG00000231233",6,5,9,1,0,2,0,0,1,4,8,5,0,6,1,12,4,4,4,2,1,2,0,1,4,3,0,0,5,2
"ENSG00000120051",54,102,87,53,63,39,18,57,84,66,65,23,55,47,31,73,72,23,138,89,59,41,26,76,41,28,60,38,39,66
"ENSG00000238620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000156395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"ENSG00000226387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233477",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213260",22,35,42,41,34,29,13,28,27,49,45,23,10,20,24,43,20,13,53,28,25,18,18,36,9,9,27,4,20,28
"ENSG00000229466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000108018",0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0
"ENSG00000200626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000203434",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270333",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000270294",0,10,5,19,2,2,0,0,2,7,4,2,6,8,2,4,12,3,11,0,1,9,4,9,1,0,10,2,5,6
"ENSG00000224907",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000108039",3400,5117,4852,4973,3908,2525,898,3452,4473,4614,4473,2231,3018,3117,1788,4383,4484,1444,4987,3163,3003,2591,1590,4347,1957,1137,3581,1519,2241,3231
"ENSG00000272160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
